trial_id,framework,test_acc1,tf_gaussian_accuracy1,tf_deepfool_accuracy1,test_acc2,tf_gaussian_accuracy2,tf_deepfool_accuracy2,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.batch_size,config.adam_epsilon,config.epochs
a9114a46,tf,0.009999999776482582,0.009965122072745396,0.009965122072745396,0.009999999776482582,0.009965122072745396,0.009965122072745396,0.0,0.011394977569580078,True,,,2,ea617fb7fd444580be2d1acba8282484,2021-01-12_08-41-42,1610440902,989.5316524505615,108694,thetagpu07,140.221.68.17,989.5316524505615,0,2,"2_adam_epsilon=0.17041,batch_size=45,dropout=0.50486,epochs=37,learning_rate=0.024024",0.02402386430340808,0.5048632161812657,45,0.1704101924084689,37
a912f1b6,tf,0.2328999936580658,0.010148890011590245,0.010073622030143772,0.22840000689029694,0.010148890011590242,0.008079734910398536,0.002164624629171358,0.008130073547363281,True,,,2,a1b5e91d2cdf4720b111d8e30d726faf,2021-01-12_08-29-30,1610440170,257.58694648742676,108676,thetagpu07,140.221.68.17,257.58694648742676,0,2,"3_adam_epsilon=0.52255,batch_size=253,dropout=0.60749,epochs=29,learning_rate=0.050761",0.05076055047241379,0.6074871594609699,253,0.5225492319853688,29
a914731a,tf,0.13740000128746033,0.0103806708963433,0.007637911663070785,0.1412999927997589,0.009957749530550338,0.008257689791324489,0.0013656160915864468,0.012018680572509766,True,,,2,a95bdb7843fa476b822efd75b884b616,2021-01-12_08-28-03,1610440083,169.80994987487793,108677,thetagpu07,140.221.68.17,169.80994987487793,0,2,"4_adam_epsilon=0.087719,batch_size=602,dropout=0.54464,epochs=59,learning_rate=0.040511",0.040510747952125635,0.5446358661603083,602,0.08771924688071084,59
a915fcb2,tf,0.22930000722408295,0.009716284492809953,0.006995724834823168,0.210999995470047,0.009716284492809956,0.007040569224789981,0.006085055788023042,0.009583711624145508,True,,,2,b344e9e563f14ac9af00395fc817e9fd,2021-01-12_08-28-12,1610440092,179.67476105690002,108673,thetagpu07,140.221.68.17,179.67476105690002,0,2,"5_adam_epsilon=0.4243,batch_size=332,dropout=0.78801,epochs=50,learning_rate=0.029601",0.029600509869556632,0.78801229798855,332,0.42429971208135314,50
a9178da2,tf,0.06719999760389328,0.011029322601049411,0.00892337771252177,0.05719999969005585,0.010273834923402482,0.009832573894607894,0.003282096469799413,0.009704351425170898,True,,,2,be618f1c7419426aa64b89a46605886f,2021-01-12_08-29-30,1610440170,256.79292345046997,108690,thetagpu07,140.221.68.17,256.79292345046997,0,2,"6_adam_epsilon=0.066192,batch_size=479,dropout=0.63977,epochs=37,learning_rate=0.036376",0.03637624336707051,0.6397724415650685,479,0.06619226383044755,37
a919282e,tf,0.15929999947547913,0.011326694139194128,0.00730502136752135,0.12269999831914902,0.010044642857142837,0.008588980463980447,0.012199364447307431,0.009901046752929688,True,,,2,c49672443141484b9d689e0463b8cec0,2021-01-12_08-29-10,1610440150,237.71040201187134,108684,thetagpu07,140.221.68.17,237.71040201187134,0,2,"7_adam_epsilon=0.084511,batch_size=144,dropout=0.75202,epochs=28,learning_rate=0.011646",0.011645780293345355,0.7520164746350391,144,0.08451136753329395,28
a91ac148,tf,0.3147999942302704,0.014481942780502879,0.008687658702351636,0.31470000743865967,0.020472132432167698,0.011822147878568693,0.003008230678757051,0.011011362075805664,True,,,2,fc579a343c6d4a21b2e2fcebb23a193a,2021-01-12_08-27-28,1610440048,135.08193039894104,108664,thetagpu07,140.221.68.17,135.08193039894104,0,2,"8_adam_epsilon=0.56412,batch_size=249,dropout=0.46256,epochs=35,learning_rate=0.0093547",0.00935468826351228,0.4625557808915181,249,0.5641240515646375,35
a91c5e5e,tf,0.04650000110268593,0.009989012086704614,0.008544447261858103,0.04569999873638153,0.009996695942155926,0.00926672967428136,2.3345366143276425e-05,0.012040853500366211,True,,,2,88b9736be2e4462fbb749c840fc99bb2,2021-01-12_08-38-02,1610440682,629.3700187206268,108645,thetagpu07,140.221.68.17,629.3700187206268,0,2,"9_adam_epsilon=0.60613,batch_size=71,dropout=0.84507,epochs=47,learning_rate=0.038316",0.03831647228611167,0.8450710780353663,71,0.6061306712804114,47
01ac833c,tf,0.2612000107765198,0.009589566551591872,0.008121625210232818,0.2784000039100647,0.010481813178566073,0.007662352323882324,0.005877655624722866,0.010869264602661133,True,,,2,85aa79d88c5b4097a4a9511cf4cc7512,2021-01-12_08-29-46,1610440186,97.63072276115417,142350,thetagpu07,140.221.68.17,97.63072276115417,0,2,"10_adam_epsilon=0.37989,batch_size=474,dropout=0.53896,epochs=28,learning_rate=0.010682",0.010681858002817917,0.5389605939203579,474,0.3798941741482257,28
ff289e50,tf,0.23899999260902405,0.010018100807574494,0.007937578990210584,0.22550000250339508,0.010895829316881956,0.007122507122507107,0.004479111154674989,0.010427474975585938,True,,,2,ca9138ccae134fa596e420b7ea55f26a,2021-01-12_08-44-06,1610441046,137.900860786438,149986,thetagpu07,140.221.68.17,137.900860786438,0,2,"1_adam_epsilon=0.52953,batch_size=540,dropout=0.4749,epochs=45,learning_rate=0.074553",0.0745527911837848,0.4748994835768224,540,0.5295323414447551,45
ff2d7c18,tf,0.009999999776482582,0.009965122072745396,0.009965122072745396,0.009999999776482582,0.009965122072745396,0.009965122072745396,0.0,0.010423421859741211,True,,,2,18bab891700048e6b2f8cca9951f761c,2021-01-12_08-57-55,1610441875,966.9857165813446,149988,thetagpu07,140.221.68.17,966.9857165813446,0,2,"2_adam_epsilon=0.17041,batch_size=45,dropout=0.16736,epochs=37,learning_rate=0.061524",0.061523860553408076,0.16736321618126568,45,0.1704101924084689,37
ff2f22de,tf,0.2287999987602234,0.010247704240839256,0.007526340935951928,0.22859999537467957,0.014568612165866173,0.008947174107357176,0.0018472459036294464,0.010503530502319336,True,,,2,bec7283ca4f44137bff03939a04b3142,2021-01-12_08-44-14,1610441054,145.82197403907776,149990,thetagpu07,140.221.68.17,145.82197403907776,0,2,"3_adam_epsilon=0.52255,batch_size=253,dropout=0.26999,epochs=29,learning_rate=0.088261",0.08826054672241379,0.2699871594609698,253,0.5225492319853688,29
