trial_id,pt_test_acc,tf_test_acc,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.batch_size,config.adam_epsilon,config.epochs
7cebe77e,0.9808515764418102,0.9800000190734863,0.0008515573683238742,335.9530656337738,True,,,1,f0c6c5c20cb64d2ea76b816d8c7ac2b6,2020-12-14_16-34-13,1607992453,335.9530656337738,46157,lambda4,140.221.79.14,335.9530656337738,0,1,"7_adam_epsilon=0.41546,batch_size=488,dropout=0.33981,epochs=249,learning_rate=0.043229",0.043228539699063914,0.3398066175854307,488,0.41546178694999253,249
7cebe77f,0.9814042747020721,0.9810000061988831,0.0004042685031890869,151.8338599205017,True,,,1,1098be79abe34621a5bdda6008dfcfb4,2020-12-14_16-32-19,1607992339,151.8338599205017,49050,lambda4,140.221.79.14,151.8338599205017,0,1,"8_adam_epsilon=0.12884,batch_size=511,dropout=0.39288,epochs=104,learning_rate=0.051005",0.05100492785306017,0.39288395464270875,511,0.12884204802034488,104
7cebe780,0.9368342650788171,0.940500020980835,0.0036657559020178976,193.22279810905457,True,,,1,c077edb51d424507866460c585adb2c7,2020-12-14_16-35-35,1607992535,193.22279810905457,55841,lambda4,140.221.79.14,193.22279810905457,0,1,"9_adam_epsilon=0.56372,batch_size=366,dropout=0.74696,epochs=126,learning_rate=0.0041355",0.00413545839119452,0.7469587863361019,366,0.563719376046961,126
7cebe781,0.7824494628345265,0.8533999919891357,0.0709505291546092,861.4046721458435,True,,,1,f87c697537af415bb783af9380b9ee85,2020-12-14_16-48-37,1607993317,861.4046721458435,59261,lambda4,140.221.79.14,861.4046721458435,0,1,"10_adam_epsilon=0.10893,batch_size=31,dropout=0.85261,epochs=127,learning_rate=0.054898",0.05489830018615435,0.8526071031275488,31,0.10893315702835984,127
44d003a2,0.9814441986382008,0.9805999994277954,0.0008441992104053497,172.19677138328552,True,,,1,80f8d59686704869b0213e856d762fc5,2020-12-14_16-51-33,1607993493,172.19677138328552,64112,lambda4,140.221.79.14,172.19677138328552,0,1,"1_adam_epsilon=0.54946,batch_size=315,dropout=0.052426,epochs=116,learning_rate=0.099433",0.09943254850574096,0.0524263241917586,315,0.5494615010579819,116
44d003a3,0.9831177029344771,0.9810000061988831,0.0021176967355940324,191.740629196167,True,,,1,3cd6e636f3a3408c99d88bb1dfd6989a,2020-12-14_16-51-52,1607993512,191.740629196167,64108,lambda4,140.221.79.14,191.740629196167,0,1,"2_adam_epsilon=0.31009,batch_size=578,dropout=0.14112,epochs=141,learning_rate=0.076041",0.07604083914287584,0.14111662247470064,578,0.3100852330300509,141
44d003a4,0.9785000157356262,0.9797000288963318,0.0012000131607056153,904.4303643703461,True,,,1,c08e2fc7171b40b79d0e0bf9e0bb75e1,2020-12-14_17-03-45,1607994225,904.4303643703461,64110,lambda4,140.221.79.14,904.4303643703461,0,1,"3_adam_epsilon=0.55476,batch_size=50,dropout=0.48613,epochs=201,learning_rate=0.084922",0.08492161582204985,0.4861311524345878,50,0.554760179195298,201
44d003a5,0.97760290258071,0.9783999919891357,0.0007970894084257107,245.4195418357849,True,,,1,05e76bbe47cc40b9b4626cf4d0dff33f,2020-12-14_16-55-40,1607993740,245.4195418357849,64136,lambda4,140.221.79.14,245.4195418357849,0,1,"4_adam_epsilon=0.50887,batch_size=611,dropout=0.54143,epochs=182,learning_rate=0.075365",0.0753650604795794,0.5414349842082061,611,0.5088725725096532,182
44d003a6,0.9834372368123796,0.9821000099182129,0.0013372268941667098,332.86894941329956,True,,,1,e10d7bd33dd1468aab12aeed36f83d88,2020-12-14_16-57-27,1607993847,332.86894941329956,64137,lambda4,140.221.79.14,332.86894941329956,0,1,"5_adam_epsilon=0.25797,batch_size=577,dropout=0.28596,epochs=243,learning_rate=0.062512",0.06251240740535416,0.2859612068586772,577,0.2579732935848222,243
44d003a7,0.9823926481707342,0.9818999767303467,0.0004926714403875598,282.82726216316223,True,,,1,93e44e8b6d6542cf803bcb8f956ff761,2020-12-14_17-00-25,1607994025,282.82726216316223,64138,lambda4,140.221.79.14,282.82726216316223,0,1,"6_adam_epsilon=0.19701,batch_size=345,dropout=0.29766,epochs=185,learning_rate=0.086584",0.0865842650764121,0.29765573782935856,345,0.19700857212639247,185
44d003a8,0.9807000085711479,0.9812999963760376,0.000599987804889679,199.40385365486145,True,,,1,1683b523896c424eb43322feda0c3873,2020-12-14_17-00-49,1607994049,199.40385365486145,2982,lambda4,140.221.79.14,199.40385365486145,0,1,"7_adam_epsilon=0.19203,batch_size=625,dropout=0.48042,epochs=144,learning_rate=0.096505",0.09650482259612048,0.48042366976566553,625,0.1920332633192273,144
44d003a9,0.9830843125070844,0.9815999865531921,0.0014843259538922515,244.77940273284912,True,,,1,72d58f8e82c54f4388d3c09c10f5d110,2020-12-14_17-04-33,1607994273,244.77940273284912,9967,lambda4,140.221.79.14,244.77940273284912,0,1,"8_adam_epsilon=0.40972,batch_size=286,dropout=0.17543,epochs=161,learning_rate=0.069936",0.0699360280055269,0.1754271760892427,286,0.409718642821045,161
